# time [s],current [A],voltage [V],temperature [K],c_p_avg [mol/m^3],c_n_avg [mol/m^3]
3170,-15,3.74783720874163,297.059812779818,39692.9493087323,10796.0438292372
3170.5,-15,3.74781010852847,297.059648556521,39694.5961451464,10794.212769603
3171,-15,3.74778303718017,297.059482806644,39696.2429815605,10792.3817099687
3171.5,-15,3.74775601119293,297.05931465775,39697.8898179746,10790.5506503345
3172,-15,3.74772898520569,297.059146508856,39699.5366543886,10788.7195907003
3172.5,-15,3.74770195921845,297.058978359962,39701.1834908027,10786.8885310661
3173,-15,3.74767493323121,297.058810211068,39702.8303272168,10785.0574714318
3173.5,-15,3.74764790724397,297.058642062174,39704.4771636309,10783.2264117976
3174,-15,3.74762088125673,297.05847391328,39706.1240000449,10781.3953521634
3174.5,-15,3.74759385526949,297.058305764386,39707.770836459,10779.5642925292
3175,-15,3.74756682928225,297.058137615492,39709.4176728731,10777.733232895
3175.5,-15,3.74753980329501,297.057969466598,39711.0645092871,10775.9021732607
3176,-15,3.74751277730777,297.057801317704,39712.7113457012,10774.0711136265
3176.5,-15,3.74748575132054,297.05763316881,39714.3581821153,10772.2400539923
3177,-15,3.7474587253333,297.057465019916,39716.0050185294,10770.4089943581
3177.5,-15,3.74743169934606,297.057296871022,39717.6518549435,10768.5779347238
3178,-15,3.74740467335882,297.057128722128,39719.2986913575,10766.7468750896
3178.5,-15,3.74737764737158,297.056960573234,39720.9455277716,10764.9158154554
3179,-15,3.74735062138434,297.05679242434,39722.5923641857,10763.0847558212
3179.5,-15,3.7473235953971,297.056624275446,39724.2392005998,10761.253696187
3180,-15,3.74729656940986,297.056456126552,39725.8860370138,10759.4226365527
3180.5,-15,3.74726954342262,297.056287977658,39727.5328734279,10757.5915769185
3181,-15,3.74724251743538,297.056119828764,39729.179709842,10755.7605172843
3181.5,-15,3.74721549144815,297.05595167987,39730.826546256,10753.9294576501
3182,-15,3.74718846546091,297.055783530976,39732.4733826701,10752.0983980158
3182.5,-15,3.74716143947367,297.055615382082,39734.1202190842,10750.2673383816
3183,-15,3.74713441348643,297.055447233188,39735.7670554983,10748.4362787474
3183.5,-15,3.74710738749919,297.055279084294,39737.4138919123,10746.6052191132
3184,-15,3.74708036151195,297.0551109354,39739.0607283264,10744.774159479
3184.5,-15,3.74705333552471,297.054942786506,39740.7075647405,10742.9430998447
3185,-15,3.74702630953747,297.054774637612,39742.3544011546,10741.1120402105
3185.5,-15,3.74699928355023,297.054606488718,39744.0012375686,10739.2809805763
3186,-15,3.74697225756299,297.054438339824,39745.6480739827,10737.4499209421
3186.5,-15,3.74694523157575,297.05427019093,39747.2949103968,10735.6188613078
3187,-15,3.74691820558852,297.054102042036,39748.9417468109,10733.7878016736
3187.5,-15,3.74689117960128,297.053933893142,39750.5885832249,10731.9567420394
3188,-15,3.74686415361404,297.053765744248,39752.235419639,10730.1256824052
3188.5,-15,3.7468371276268,297.053597595354,39753.8822560531,10728.294622771
3189,-15,3.74681010163956,297.05342944646,39755.5290924671,10726.4635631367
